state_region,ages,year,population
MD,under18,2001,1366552.0
MD,total,2002,5440389.0
MD,under18,2002,1375354.0
MD,total,2000,5311034.0
MD,under18,2000,1356961.0
MD,total,1999,5254509.0
MD,under18,1999,1348659.0
MD,total,1997,5157328.0
MD,under18,1997,1321306.0
MD,under18,1998,1338727.0
MD,total,1998,5204464.0
MD,under18,1996,1303816.0
MD,total,1996,5111986.0
MD,total,1995,5070033.0
MD,under18,1995,1300695.0
MD,under18,1992,1235498.0
MD,total,1992,4923369.0
